ID,BusinessPartnerRole,CompanyName,WebAddress,EmailAddress,PhoneNumber,FaxNumber,LegalForm,CurrencyCode,CreatedAt,ChangedAt
100000000,1,SAP,http://www.sap.com,customer-do.not.reply@sap.com,622734567,622734004,SE,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000001,1,Becker Berlin,http://www.beckerberlin.de,customer-dagmar.schulze@beckerberlin.de,3088530,3088004,GmbH,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000002,1,DelBont Industries,http://www.delbont.com,customer-maria.brown@delbont.com,3023352668,3023352004,Ltd.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000003,1,Talpa,http://www.talpa-hannover.de,customer-saskia.sommer@talpa-hannover.de,511403266,511403004,GmbH,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000004,1,Panorama Studios,http://www.panorama-studios.biz,customer-bob.buyer@panorama-studios.biz,2244668800,2244668004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000005,1,TECUM,http://www.tecum-ag.de,customer-bart.koenig@tecum-ag.de,2511415,2511004,AG,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000006,1,Asia High tech,http://www.asia-ht.com,customer-yoko.nakamura@asia-ht.com,9078563412,9078563004,Inc.,JPY,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000007,1,Laurent,http://www.laurent-paris.com,customer-sophie.ribery@laurent-paris.com,149744423,149744004,S.A.,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000008,1,AVANTEL,http://www.avantel.com,customer-victor.sanchez@avantel.com,7257716,7257004,S.A.,MXN,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000009,1,Telecomunicaciones Star,http://www.telecomunicacionesstar.com,customer-jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,S.A.,ARS,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000010,1,Pear Computing Services,http://www.pear-computing.com,customer-franklin.jones@pear-computing.com,6789012345,6789012004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000011,1,Alpine Systems,http://www.alp-systems.at,customer-joseph_gschwandtner@alp-systems.at,6623612804,6623612004,AG,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000012,1,New Line Design,http://www.newlinedesign.co.uk,customer-george_d_grant@newlinedesign.co.uk,2589436180,2589436004,Ltd.,GBP,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000013,1,HEPA Tec,http://www.hepa-tec.de,customer-sarah.schwind@hepa-tec.de,4507867136,4507867004,GmbH,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000014,1,Anav Ideon,http://www.anavideon.com,customer-theodor.monathy@anavideon.com,5850428367,5850428004,Ltd.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000015,1,Robert Brown Entertainment,http://www.rb-entertainment.ca,customer-robert_brown@rb-entertainment.ca,7609448173,7609448004,Ltd.,CAD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000016,1,Mexican Oil Trading Company,http://www.motc.mx,customer-jorgemontalban@motc.mx,6879342945,6879342004,S.A.,MXN,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000017,1,Meliva,http://www.meliva.de,customer-johanna.esther@meliva.de,2208791738,2208791004,AG,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000018,1,Compostela,http://www.compostela.ar,customer-miguel.luengo@compostela.ar,4440238917,4440238004,S.A.,ARS,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000019,1,Pateu,http://www.pateu.fr,customer-isabel.nemours@pateu.fr,6328490087,6328490004,S.A.R.L.,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000020,1,Russian Electronic Trading Company,http://www.retc.ru,customer-igor.tarassow@retc.ru,4050378468,4050378004,z.a.o.,RUB,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000021,1,Florida Holiday Company,http://www.flor-hc.com,customer-alexis.harper@flor-hc.com,6065470312,6065470004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000022,1,Quimica Madrilenos,http://www.quimica-madrilenos.es,customer-c.alfaro@quimica-madrilenos.es,7980023486,7980023004,S.A.,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000023,1,Getränkegroßhandel Janssen,http://www.getraenke-janssen.de,customer-sven.j@getraenke-janssen.de,3629731486,3629731004,GmbH,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000024,1,JaTeCo,http://www.jateco.jp,customer-yoshiko.kakuji@jateco.jp,3206580974,3206580004,Inc.,JPY,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000025,1,Tessile Casa Di Roma,http://www.tcdr.it,customer-alessio.galasso@tcdr.it,4580963184,4580963004,Srl,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000026,1,Vente Et Réparation de Ordinateur,http://www.verdo.fr,customer-romain.le_mason@verdo.fr,1012697341,1012697004,S.A.R.L.,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000027,1,Developement Para O Governo,http://www.dpg.ar,customer-martha.calcagno@dpg.ar,7345697824,7345697004,S.A.,ARS,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000028,1,Brazil Technologies,http://www.brazil-tec.br,customer-beatriz.da_silva@brazil-tec.br,469614115,469614004,S.A.,BRL,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000029,1,C.R.T.U.,http://www.crtu.ca,customer-anthony.lebouef@crtu.ca,6839542781,6839542004,Ltd.,CAD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000030,1,Jologa,http://www.jologa.ch,customer-lisa.felske@jologa.ch,6714954542,6714954004,GmbH,CHF,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000031,1,Baleda,http://www.baleda.com,customer-jonathan.d.mason@baleda.com,2483693027,2483693004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000032,1,Angeré,http://www.angere.fr,customer-amelie.troyat@angere.fr,2094573421,2094573004,S.A.R.L.,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000033,1,PC Gym Tec,http://www.pc-gym-tec.com,customer-pete_waltham@pc-gym-tec.com,4136278910,4136278004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000034,1,Japan Insurance Partner,http://www.jip.jp,customer-ryu.toshiro@jip.jp,3540671320,3540671004,Inc.,JPY,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000035,1,Entertainment Argentinia,http://www.en-ar.ar,customer-jose-lopez@en-ar.ar,7315064077,7315064004,S.A.,ARS,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000036,1,African Gold And Diamond Corporation,http://www.agadc.co.za,customer-dahoma.lawla@agadc.co.za,4381762683,4381762004,Ltd.,ZAR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000037,1,PicoBit,http://www.pico-bit.com,customer-jefferson.parker@pico-bit.com,9703586412,9703586004,Inc.,USD,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000038,1,Bionic Research Lab,http://www.brl-ag.de,customer-tamara.flaig@brl-ag.de,6843585642,6843585004,AG,EUR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000039,1,Indian IT Trading Company,http://www.it-trade.in,customer-sunita-kapoor@it-trade.in,4203876954,4203876004,Ltd.,INR,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000040,1,Chemia A Technicznie Fabryka,http://www.catf.pl,customer-pawel-lewandoski@catf.pl,8367920106,8367920004,Sp.z.o.o.,PLN,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000041,1,South American IT Company,http://www.saitc.ar,customer-laura.campillo@saitc.ar,1438907230,1438907004,S.A.,ARS,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
100000042,1,Siwusha,http://www.siwusha.cn,customer-jian.si@siwusha.cn,7412697340,7412697004,CJV,CNY,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
